,Q21,Q22,Q23,Q24,Q25,Q26,Q28,Q29,Q30,Q31,tweet,value
4356,26-30,Male,Bachelor's degree,Employee,Strongly agree,Agree,Strongly agree,Agree,Strongly agree,Somewhat concerned," YOU SHOULD OF TAKEN YOUR MEDS. BIPOLOR ISNT NOTHING TO LAUGH AT. YOUR BIPOLAR RIGHT, WE ALL THINK SO..",4.0
4357,18-25,Male,Bachelor's degree,Employee,Strongly agree,Strongly agree,Agree,Neither agree nor disagree,Agree,A little concerned," YOU SHOULD OF TAKEN YOUR MEDS. BIPOLOR ISNT NOTHING TO LAUGH AT. YOUR BIPOLAR RIGHT, WE ALL THINK SO..",2.0
4358,41-50,Male,Bachelor's degree,Employee,Agree,Agree,Agree,Neither agree nor disagree,Agree,A little concerned," YOU SHOULD OF TAKEN YOUR MEDS. BIPOLOR ISNT NOTHING TO LAUGH AT. YOUR BIPOLAR RIGHT, WE ALL THINK SO..",5.0
4359,31-40,Male,Bachelor's degree,Employee,Agree,Agree,Strongly agree,Neither agree nor disagree,Agree,Not at all concerned," YOU SHOULD OF TAKEN YOUR MEDS. BIPOLOR ISNT NOTHING TO LAUGH AT. YOUR BIPOLAR RIGHT, WE ALL THINK SO..",4.0
4360,31-40,Male,Master's degree,Employee,Strongly agree,Agree,Strongly agree,Agree,Strongly agree,A little concerned," YOU SHOULD OF TAKEN YOUR MEDS. BIPOLOR ISNT NOTHING TO LAUGH AT. YOUR BIPOLAR RIGHT, WE ALL THINK SO..",5.0
4361,41-50,Male,Master's degree,Employee,Agree,Neither agree nor disagree,Strongly agree,Agree,Agree,Very concerned," YOU SHOULD OF TAKEN YOUR MEDS. BIPOLOR ISNT NOTHING TO LAUGH AT. YOUR BIPOLAR RIGHT, WE ALL THINK SO..",4.0
4362,41-50,Female,Master's degree,Self-employed,Neither agree nor disagree,Strongly Disagree,Strongly agree,Strongly agree,Neither agree nor disagree,A little concerned," YOU SHOULD OF TAKEN YOUR MEDS. BIPOLOR ISNT NOTHING TO LAUGH AT. YOUR BIPOLAR RIGHT, WE ALL THINK SO..",4.0
4363,31-40,Female,Bachelor's degree,Self-employed,Agree,Agree,Neither agree nor disagree,Agree,Neither agree nor disagree,Very concerned," YOU SHOULD OF TAKEN YOUR MEDS. BIPOLOR ISNT NOTHING TO LAUGH AT. YOUR BIPOLAR RIGHT, WE ALL THINK SO..",4.0
4364,26-30,Male,Bachelor's degree,Employee,Agree,Disagree,Neither agree nor disagree,Agree,Agree,Somewhat concerned," YOU SHOULD OF TAKEN YOUR MEDS. BIPOLOR ISNT NOTHING TO LAUGH AT. YOUR BIPOLAR RIGHT, WE ALL THINK SO..",4.0
4365,26-30,Male,Bachelor's degree,Employee,Agree,Agree,Agree,Neither agree nor disagree,Agree,Somewhat concerned," YOU SHOULD OF TAKEN YOUR MEDS. BIPOLOR ISNT NOTHING TO LAUGH AT. YOUR BIPOLAR RIGHT, WE ALL THINK SO..",2.0
4366,41-50,Female,Master's degree,Employee,Agree,Disagree,Disagree,Disagree,Neither agree nor disagree,Somewhat concerned," YOU SHOULD OF TAKEN YOUR MEDS. BIPOLOR ISNT NOTHING TO LAUGH AT. YOUR BIPOLAR RIGHT, WE ALL THINK SO..",3.0
4367,26-30,Male,High school graduate with diploma,Self-employed,Strongly agree,Strongly agree,Agree,Agree,Agree,Somewhat concerned," YOU SHOULD OF TAKEN YOUR MEDS. BIPOLOR ISNT NOTHING TO LAUGH AT. YOUR BIPOLAR RIGHT, WE ALL THINK SO..",5.0
4368,41-50,Female,Master's degree,Employee,Agree,Strongly agree,Strongly agree,Agree,Agree,Somewhat concerned," YOU SHOULD OF TAKEN YOUR MEDS. BIPOLOR ISNT NOTHING TO LAUGH AT. YOUR BIPOLAR RIGHT, WE ALL THINK SO..",5.0
4369,41-50,Female,Bachelor's degree,Employee,Agree,Agree,Neither agree nor disagree,Agree,Agree,Somewhat concerned," YOU SHOULD OF TAKEN YOUR MEDS. BIPOLOR ISNT NOTHING TO LAUGH AT. YOUR BIPOLAR RIGHT, WE ALL THINK SO..",4.0
4370,26-30,Male,Bachelor's degree,Employee,Agree,Agree,Agree,Agree,Agree,A little concerned," I had really only thought as far as interior design, I didnt even think about activities until I saw the trailer..",3.0
4371,41-50,Male,Master's degree,Employee,Strongly agree,Agree,Neither agree nor disagree,Agree,Neither agree nor disagree,Very concerned," I had really only thought as far as interior design, I didnt even think about activities until I saw the trailer..",4.0
4372,Above 60 years old,Male,Bachelor's degree,Unable to work,Strongly agree,Neither agree nor disagree,Neither agree nor disagree,Strongly agree,Neither agree nor disagree,A little concerned," I had really only thought as far as interior design, I didnt even think about activities until I saw the trailer..",3.0
4373,18-25,Female,Master's degree,Employee,Agree,Agree,Agree,Agree,Neither agree nor disagree,Somewhat concerned," I had really only thought as far as interior design, I didnt even think about activities until I saw the trailer..",3.0
4374,18-25,Female,Master's degree,Employee,Agree,Agree,Agree,Strongly agree,Agree,Somewhat concerned," I had really only thought as far as interior design, I didnt even think about activities until I saw the trailer..",4.0
4375,26-30,Female,Bachelor's degree,Employee,Agree,Strongly agree,Agree,Strongly agree,Strongly agree,A little concerned," I had really only thought as far as interior design, I didnt even think about activities until I saw the trailer..",1.0
4376,31-40,Male,Master's degree,Employee,Agree,Agree,Strongly agree,Neither agree nor disagree,Agree,Very concerned," I had really only thought as far as interior design, I didnt even think about activities until I saw the trailer..",2.0
4377,41-50,Male,Bachelor's degree,Employee,Strongly agree,Disagree,Strongly agree,Agree,Disagree,Somewhat concerned," I had really only thought as far as interior design, I didnt even think about activities until I saw the trailer..",3.0
4378,Above 60 years old,Male,Bachelor's degree,Retired,Disagree,Strongly agree,Disagree,Agree,Agree,Very concerned," I had really only thought as far as interior design, I didnt even think about activities until I saw the trailer..",2.0
4379,41-50,Female,Bachelor's degree,Self-employed,Strongly agree,Agree,Agree,Agree,Strongly agree,Somewhat concerned," I had really only thought as far as interior design, I didnt even think about activities until I saw the trailer..",3.0
4380,31-40,Female,Master's degree,Self-employed,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Agree,Very concerned," I had really only thought as far as interior design, I didnt even think about activities until I saw the trailer..",5.0
4381,41-50,Female,Master's degree,Self-employed,Agree,Agree,Agree,Agree,Agree,Somewhat concerned," I had really only thought as far as interior design, I didnt even think about activities until I saw the trailer..",4.0
4382,31-40,Female,Master's degree,Self-employed,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Agree,A little concerned," I had really only thought as far as interior design, I didnt even think about activities until I saw the trailer..",3.0
4383,31-40,Female,Bachelor's degree,Employee,Agree,Neither agree nor disagree,Disagree,Neither agree nor disagree,Agree,Somewhat concerned," I had really only thought as far as interior design, I didnt even think about activities until I saw the trailer..",3.0
4384,26-30,Male,Bachelor's degree,Employee,Agree,Agree,Agree,Disagree,Agree,Very concerned," Somehow I don't think you're getting the meaning of the poster. In other words, they went above and beyond to save this little girl whilst those who were supposedly following the law, sought her out to do her harm. How can you not know the meaning of this.",4.0
4385,41-50,Female,Bachelor's degree,Employee,Agree,Neither agree nor disagree,Agree,Disagree,Neither agree nor disagree,A little concerned," Somehow I don't think you're getting the meaning of the poster. In other words, they went above and beyond to save this little girl whilst those who were supposedly following the law, sought her out to do her harm. How can you not know the meaning of this.",3.0
4386,51-60,Male,Associate degree,Employee,Strongly agree,Neither agree nor disagree,Agree,Agree,Neither agree nor disagree,Somewhat concerned," Somehow I don't think you're getting the meaning of the poster. In other words, they went above and beyond to save this little girl whilst those who were supposedly following the law, sought her out to do her harm. How can you not know the meaning of this.",5.0
4387,41-50,Female,Bachelor's degree,Self-employed,Strongly agree,Agree,Strongly agree,Agree,Agree,A little concerned," Somehow I don't think you're getting the meaning of the poster. In other words, they went above and beyond to save this little girl whilst those who were supposedly following the law, sought her out to do her harm. How can you not know the meaning of this.",4.0
4388,31-40,Male,Master's degree,A homemaker,Agree,Agree,Agree,Strongly agree,Strongly agree,Very concerned," Somehow I don't think you're getting the meaning of the poster. In other words, they went above and beyond to save this little girl whilst those who were supposedly following the law, sought her out to do her harm. How can you not know the meaning of this.",3.0
4389,18-25,Female,High school graduate with diploma,Employee,Agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Very concerned," Somehow I don't think you're getting the meaning of the poster. In other words, they went above and beyond to save this little girl whilst those who were supposedly following the law, sought her out to do her harm. How can you not know the meaning of this.",3.0
4390,31-40,Female,Master's degree,Self-employed,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Very concerned," Somehow I don't think you're getting the meaning of the poster. In other words, they went above and beyond to save this little girl whilst those who were supposedly following the law, sought her out to do her harm. How can you not know the meaning of this.",3.0
4391,26-30,Male,High school graduate with diploma,Self-employed,Strongly agree,Strongly agree,Agree,Agree,Agree,Somewhat concerned," Somehow I don't think you're getting the meaning of the poster. In other words, they went above and beyond to save this little girl whilst those who were supposedly following the law, sought her out to do her harm. How can you not know the meaning of this.",4.0
4392,26-30,Male,Bachelor's degree,Employee,Agree,Disagree,Strongly Disagree,Neither agree nor disagree,Neither agree nor disagree,Very concerned," Somehow I don't think you're getting the meaning of the poster. In other words, they went above and beyond to save this little girl whilst those who were supposedly following the law, sought her out to do her harm. How can you not know the meaning of this.",4.0
4393,41-50,Female,Master's degree,Self-employed,Agree,Neither agree nor disagree,Strongly agree,Strongly agree,Strongly agree,Somewhat concerned," Somehow I don't think you're getting the meaning of the poster. In other words, they went above and beyond to save this little girl whilst those who were supposedly following the law, sought her out to do her harm. How can you not know the meaning of this.",3.0
4394,41-50,Male,Bachelor's degree,Employee,Agree,Agree,Strongly agree,Agree,Strongly agree,A little concerned," Somehow I don't think you're getting the meaning of the poster. In other words, they went above and beyond to save this little girl whilst those who were supposedly following the law, sought her out to do her harm. How can you not know the meaning of this.",3.0
4395,41-50,Female,Master's degree,Employee,Agree,Strongly agree,Agree,Strongly agree,Agree,Somewhat concerned," Somehow I don't think you're getting the meaning of the poster. In other words, they went above and beyond to save this little girl whilst those who were supposedly following the law, sought her out to do her harm. How can you not know the meaning of this.",4.0
4396,51-60,Female,High school graduate with diploma,Employee,Agree,Agree,Neither agree nor disagree,Agree,Disagree,A little concerned," Somehow I don't think you're getting the meaning of the poster. In other words, they went above and beyond to save this little girl whilst those who were supposedly following the law, sought her out to do her harm. How can you not know the meaning of this.",2.0
